"","STNAME","RACE","ESTIM","MR","NUM_DIFF","PERC_DIFF","COVERAGE"
"68","Kansas","NHPI_AIC",7311,6949,-362,-5.08,"undercount"
"69","Kentucky","A_A",74926,74605,-321,-0.43,"undercount"
"70","Kentucky","A_AIC",93954,96907,2953,3.09,"overcount"
"71","Kentucky","NHPI_A",4670,3502,-1168,-28.59,"undercount"
"72","Kentucky","NHPI_AIC",8119,7661,-458,-5.8,"undercount"
"73","Louisiana","A_A",86912,86078,-834,-0.96,"undercount"
"74","Louisiana","A_AIC",107221,108464,1243,1.15,"overcount"
"75","Louisiana","NHPI_A",2951,1780,-1171,-49.5,"undercount"
"76","Louisiana","NHPI_AIC",6663,5120,-1543,-26.19,"undercount"
"77","Maine","A_A",18049,16914,-1135,-6.49,"undercount"
"78","Maine","A_AIC",24753,25029,276,1.11,"overcount"
"79","Maine","NHPI_A",507,409,-98,-21.4,"undercount"
"80","Maine","NHPI_AIC",1393,1422,29,2.06,"overcount"
"81","Maryland","A_A",415516,422938,7422,1.77,"overcount"
"82","Maryland","A_AIC",481498,495760,14262,2.92,"overcount"
"83","Maryland","NHPI_A",7446,2805,-4641,-90.55,"undercount"
"84","Maryland","NHPI_AIC",15436,9549,-5887,-47.12,"undercount"
"85","Massachusetts","A_A",512509,512681,172,0.03,"overcount"
"86","Massachusetts","A_AIC",571917,579748,7831,1.36,"overcount"
"87","Massachusetts","NHPI_A",7584,2444,-5140,-102.51,"undercount"
"88","Massachusetts","NHPI_AIC",16493,7600,-8893,-73.82,"undercount"
"89","Michigan","A_A",338185,335333,-2852,-0.85,"undercount"
"90","Michigan","A_AIC",405889,406816,927,0.23,"overcount"
"91","Michigan","NHPI_A",4388,2715,-1673,-47.11,"undercount"
"92","Michigan","NHPI_AIC",13015,9601,-3414,-30.19,"undercount"
"93","Minnesota","A_A",301058,299979,-1079,-0.36,"undercount"
"94","Minnesota","A_AIC",345931,353834,7903,2.26,"overcount"
"95","Minnesota","NHPI_A",4650,2888,-1762,-46.75,"undercount"
"96","Minnesota","NHPI_AIC",10112,8428,-1684,-18.17,"undercount"
"97","Mississippi","A_A",33071,32770,-301,-0.91,"undercount"
"98","Mississippi","A_AIC",42896,43913,1017,2.34,"overcount"
"99","Mississippi","NHPI_A",1946,1083,-863,-56.98,"undercount"
"100","Mississippi","NHPI_AIC",4015,2787,-1228,-36.11,"undercount"
"101","Missouri","A_A",136920,133605,-3315,-2.45,"undercount"
"102","Missouri","A_AIC",173280,176032,2752,1.58,"overcount"
"103","Missouri","NHPI_A",10423,9431,-992,-9.99,"undercount"
"104","Missouri","NHPI_AIC",17186,16429,-757,-4.5,"undercount"
"105","Montana","A_A",10798,8251,-2547,-26.74,"undercount"
"106","Montana","A_AIC",17788,16086,-1702,-10.05,"undercount"
"107","Montana","NHPI_A",944,886,-58,-6.34,"undercount"
"108","Montana","NHPI_AIC",2561,2776,215,8.06,"overcount"
"109","Nebraska","A_A",53514,52786,-728,-1.37,"undercount"
"110","Nebraska","A_AIC",66193,67142,949,1.42,"overcount"
"111","Nebraska","NHPI_A",2543,1358,-1185,-60.75,"undercount"
"112","Nebraska","NHPI_AIC",4693,3478,-1215,-29.74,"undercount"
"113","Nevada","A_A",282006,268708,-13298,-4.83,"undercount"
"114","Nevada","A_AIC",356300,335187,-21113,-6.11,"undercount"
"115","Nevada","NHPI_A",26595,23251,-3344,-13.42,"undercount"
"116","Nevada","NHPI_AIC",50927,45483,-5444,-11.29,"undercount"
"117","New Hampshire","A_A",41734,36017,-5717,-14.71,"undercount"
"118","New Hampshire","A_AIC",49857,46280,-3577,-7.44,"undercount"
"119","New Hampshire","NHPI_A",733,404,-329,-57.87,"undercount"
"120","New Hampshire","NHPI_AIC",1680,1552,-128,-7.92,"undercount"
"121","New Jersey","A_A",908286,955050,46764,5.02,"overcount"
"122","New Jersey","A_AIC",983796,1034741,50945,5.05,"overcount"
"123","New Jersey","NHPI_A",10958,2624,-8334,-122.72,"undercount"
"124","New Jersey","NHPI_AIC",20936,9278,-11658,-77.17,"undercount"
"125","New Mexico","A_A",39553,35734,-3819,-10.15,"undercount"
"126","New Mexico","A_AIC",55459,48670,-6789,-13.04,"undercount"
"127","New Mexico","NHPI_A",3493,1519,-1974,-78.77,"undercount"
"128","New Mexico","NHPI_AIC",6832,4102,-2730,-49.94,"undercount"
"129","New York","A_A",1782587,1975842,193255,10.28,"overcount"
"130","New York","A_AIC",1961534,2171220,209686,10.15,"overcount"
"131","New York","NHPI_A",27911,9428,-18483,-99,"undercount"
"132","New York","NHPI_AIC",53789,27544,-26245,-64.54,"undercount"
"133","North Carolina","A_A",353258,343785,-9473,-2.72,"undercount"
"134","North Carolina","A_AIC",418971,417371,-1600,-0.38,"undercount"
"135","North Carolina","NHPI_A",14988,7194,-7794,-70.27,"undercount"
"136","North Carolina","NHPI_AIC",26038,17243,-8795,-40.64,"undercount"
"137","North Dakota","A_A",13090,13155,65,0.5,"overcount"
"138","North Dakota","A_AIC",17392,18151,759,4.27,"overcount"
"139","North Dakota","NHPI_A",666,889,223,28.68,"overcount"
"140","North Dakota","NHPI_AIC",1504,1838,334,19.99,"overcount"
"141","Ohio","A_A",304804,299587,-5217,-1.73,"undercount"
"142","Ohio","A_AIC",367175,372365,5190,1.4,"overcount"
"143","Ohio","NHPI_A",7826,4620,-3206,-51.52,"undercount"
"144","Ohio","NHPI_AIC",16010,13035,-2975,-20.49,"undercount"
"145","Oklahoma","A_A",96016,90459,-5557,-5.96,"undercount"
"146","Oklahoma","A_AIC",125539,119615,-5924,-4.83,"undercount"
"147","Oklahoma","NHPI_A",9202,8283,-919,-10.51,"undercount"
"148","Oklahoma","NHPI_AIC",14711,13604,-1107,-7.82,"undercount"
"149","Oregon","A_A",208564,193821,-14743,-7.33,"undercount"
"150","Oregon","A_AIC",276264,265694,-10570,-3.9,"undercount"
"151","Oregon","NHPI_A",20138,18489,-1649,-8.54,"undercount"
"152","Oregon","NHPI_AIC",37469,35963,-1506,-4.1,"undercount"
"153","Pennsylvania","A_A",494543,512428,17885,3.55,"overcount"
"154","Pennsylvania","A_AIC",565504,596224,30720,5.29,"overcount"
"155","Pennsylvania","NHPI_A",11182,3466,-7716,-105.35,"undercount"
"156","Pennsylvania","NHPI_AIC",21521,12176,-9345,-55.46,"undercount"
"157","Rhode Island","A_A",38958,38868,-90,-0.23,"undercount"
"158","Rhode Island","A_AIC",46874,47216,342,0.73,"overcount"
"159","Rhode Island","NHPI_A",2218,508,-1710,-125.46,"undercount"
"160","Rhode Island","NHPI_AIC",3727,1478,-2249,-86.42,"undercount"
"161","South Carolina","A_A",98989,90419,-8570,-9.05,"undercount"
"162","South Carolina","A_AIC",125649,120427,-5222,-4.24,"undercount"
"163","South Carolina","NHPI_A",5270,3149,-2121,-50.39,"undercount"
"164","South Carolina","NHPI_AIC",10027,7565,-2462,-27.99,"undercount"
"165","South Dakota","A_A",14971,13506,-1465,-10.29,"undercount"
"166","South Dakota","A_AIC",19291,18047,-1244,-6.66,"undercount"
"167","South Dakota","NHPI_A",862,501,-361,-52.97,"undercount"
"168","South Dakota","NHPI_AIC",1703,1379,-324,-21.03,"undercount"
"169","Tennessee","A_A",136836,135856,-980,-0.72,"undercount"
"170","Tennessee","A_AIC",171109,175232,4123,2.38,"overcount"
"171","Tennessee","NHPI_A",7165,3703,-3462,-63.71,"undercount"
"172","Tennessee","NHPI_AIC",12990,9533,-3457,-30.7,"undercount"
"173","Texas","A_A",1584830,1575261,-9569,-0.61,"undercount"
"174","Texas","A_AIC",1802453,1783194,-19259,-1.07,"undercount"
"175","Texas","NHPI_A",45057,28640,-16417,-44.55,"undercount"
"176","Texas","NHPI_AIC",80551,60676,-19875,-28.15,"undercount"
"177","Utah","A_A",87168,79560,-7608,-9.13,"undercount"
"178","Utah","A_AIC",123590,119210,-4380,-3.61,"undercount"
"179","Utah","NHPI_A",36571,36119,-452,-1.24,"undercount"
"180","Utah","NHPI_AIC",54254,56045,1791,3.25,"overcount"
"181","Vermont","A_A",12528,11613,-915,-7.58,"undercount"
"182","Vermont","A_AIC",15918,16002,84,0.53,"overcount"
"183","Vermont","NHPI_A",232,179,-53,-25.79,"undercount"
"184","Vermont","NHPI_AIC",641,661,20,3.07,"overcount"
"185","Virginia","A_A",610373,616696,6323,1.03,"overcount"
"186","Virginia","A_AIC",725447,744322,18875,2.57,"overcount"
"187","Virginia","NHPI_A",10439,6455,-3984,-47.16,"undercount"
"188","Virginia","NHPI_AIC",22900,19041,-3859,-18.4,"undercount"
"189","Washington","A_A",757033,729702,-27331,-3.68,"undercount"
"190","Washington","A_AIC",937359,917461,-19898,-2.15,"undercount"
"191","Washington","NHPI_A",61541,63308,1767,2.83,"overcount"
"192","Washington","NHPI_AIC",102884,105882,2998,2.87,"overcount"
"193","West Virginia","A_A",15426,15146,-280,-1.83,"undercount"
"194","West Virginia","A_AIC",21085,21807,722,3.37,"overcount"
"195","West Virginia","NHPI_A",538,449,-89,-18.03,"undercount"
"196","West Virginia","NHPI_AIC",1621,1533,-88,-5.58,"undercount"
"197","Wisconsin","A_A",183087,175676,-7411,-4.13,"undercount"
"198","Wisconsin","A_AIC",214509,212784,-1725,-0.81,"undercount"
"199","Wisconsin","NHPI_A",3529,1927,-1602,-58.72,"undercount"
"200","Wisconsin","NHPI_AIC",7882,6370,-1512,-21.22,"undercount"
"201","Wyoming","A_A",6394,5148,-1246,-21.59,"undercount"
"202","Wyoming","A_AIC",9853,8822,-1031,-11.04,"undercount"
"203","Wyoming","NHPI_A",617,495,-122,-21.94,"undercount"
"204","Wyoming","NHPI_AIC",1485,1431,-54,-3.7,"undercount"
