1-2 FIPS state code
3-5 FIPS county code
6 Blank
7-8 Five-year age groups

9-16 Hispanic or Latino, Male, White alone
697-704	 Not Hispanic or Latino, Male, American Indian and Alaska Native and Asian and Native Hawaiian and Other Pacific Islander
705-712	 Not Hispanic or Latino, Male, White and Black or African American and American Indian and Alaska Native and Asian
713-720	 Not Hispanic or Latino, Male, White and Black or African American and American Indian and Alaska Native and Native Hawaiian and Other Pacific Islander
721-728	 Not Hispanic or Latino, Male, White and Black or African American and Asian and Native Hawaiian and Other Pacific Islander
729-736	 Not Hispanic or Latino, Male, White and American Indian and Alaska Native and Asian and Native Hawaiian and Other Pacific Islander
737-744	 Not Hispanic or Latino, Male, Black or African American and American Indian and Alaska Native and Asian and Native Hawaiian and Other Pacific Islander
745-752	 Not Hispanic or Latino, Male, White and Black or African American and American Indian and Alaska Native and Asian and Native Hawaiian and Other Pacific 
753-760 Not Hispanic or Latino, Female, White alone
761-768 Not Hispanic or Latino, Female, Black or African American alone
769-776 Not Hispanic or Latino, Female, American Indian and Alaska Native alone
777-784 Not Hispanic or Latino, Female, Asian alone
785-792 Not Hispanic or Latino, Female, Native Hawaiian and Other Pacific Islander alone
793-800 Not Hispanic or Latino, Female, White and Black or African American
801-808 Not Hispanic or Latino, Female, White and American Indian and Alaska Native
809-816 Not Hispanic or Latino, Female, White and Asian
817-824 Not Hispanic or Latino, Female, White and Native Hawaiian and Other Pacific Islander
825-832 Not Hispanic or Latino, Female, Black or African American and American Indian and Alaska Native
833-840 Not Hispanic or Latino, Female, Black or African American and Asian
841-848	 Not Hispanic or Latino, Female, Black or African American and Native Hawaiian and Other Pacific Islander
849-856 Not Hispanic or Latino, Female, American Indian and Alaska Native and Asian
857-864	 Not Hispanic or Latino, Female, American Indian and Alaska Native and Native Hawaiian and Other Pacific Islander
865-872 Not Hispanic or Latino, Female, Asian and Native Hawaiian and Other Pacific Islander
873-880	 Not Hispanic or Latino, Female, White and Black or African American and American Indian and Alaska Native
881-888 Not Hispanic or Latino, Female, White and Black or African American and Asian
889-896	 Not Hispanic or Latino, Female, White and Black or African American and Native Hawaiian and Other Pacific Islander
897-904 Not Hispanic or Latino, Female, White and American Indian and Alaska Native and Asian
905-912	 Not Hispanic or Latino, Female, White and American Indian and Alaska Native and Native Hawaiian and Other Pacific Islander
913-920 Not Hispanic or Latino, Female, White and Asian and Native Hawaiian and Other Pacific Islander
921-928	 Not Hispanic or Latino, Female, Black or African American and American Indian and Alaska Native and Asian
929-936	 Not Hispanic or Latino, Female, Black or African American and American Indian and Alaska Native and Native Hawaiian and Other Pacific Islander
937-944	 Not Hispanic or Latino, Female, Black or African American and Asian and Native Hawaiian and Other Pacific Islander
945-952	 Not Hispanic or Latino, Female, American Indian and Alaska Native and Asian and Native Hawaiian and Other Pacific Islander
953-960	 Not Hispanic or Latino, Female, White and Black or African American and American Indian and Alaska Native and Asian
961-968	 Not Hispanic or Latino, Female, White and Black or African American and American Indian and Alaska Native and Native Hawaiian and Other Pacific Islander
969-976	 Not Hispanic or Latino, Female, White and Black or African American and Asian and Native Hawaiian and Other Pacific Islander
977-984	 Not Hispanic or Latino, Female, White and American Indian and Alaska Native and Asian and Native Hawaiian and Other Pacific Islander
985-992	 Not Hispanic or Latino, Female, Black or African American and American Indian and Alaska Native and Asian and Native Hawaiian and Other Pacific Islander
993-1000	 Not Hispanic or Latino, Female, White and Black or African American and American Indian and Alaska Native and Asian and Native Hawaiian and Other Pacific Islander
1001-1002 State postal abbreviation
1003-1046 County or county equivalent name
